"dataset_key","cluster_source","cluster_id","cell_type_label","annotation_status","confidence_score","marker_evidence","reference_source","notes"
"glycine_Seurat","Rank_1st","34","34","unreviewed",,"","",""
"glycine_Seurat","Rank_1st","35","35","unreviewed",,"","",""
"glycine_Seurat","Rank_1st","4","4","unreviewed",,"","",""
"glycine_Seurat","Rank_1st","5","5","unreviewed",,"","",""
"glycine_Seurat","Rank_1st","6","6","unreviewed",,"","",""
"glycine_Seurat","Rank_1st","7","7","unreviewed",,"","",""
"glycine_Seurat","Rank_1st","8","8","unreviewed",,"","",""
"glycine_Seurat","Rank_1st","9","9","unreviewed",,"","",""
"glycine_Seurat","Rank_2nd","0","0","unreviewed",,"","",""
"glycine_Seurat","Rank_2nd","1","1","unreviewed",,"","",""
"glycine_Seurat","Rank_2nd","10","10","unreviewed",,"","",""
"glycine_Seurat","Rank_2nd","11","11","unreviewed",,"","",""
"glycine_Seurat","Rank_2nd","12","12","unreviewed",,"","",""
"glycine_Seurat","Rank_2nd","13","13","unreviewed",,"","",""
"glycine_Seurat","Rank_2nd","14","14","unreviewed",,"","",""
"glycine_Seurat","Rank_2nd","15","15","unreviewed",,"","",""
"glycine_Seurat","Rank_2nd","16","16","unreviewed",,"","",""
"glycine_Seurat","Rank_2nd","17","17","unreviewed",,"","",""
"glycine_Seurat","Rank_2nd","18","18","unreviewed",,"","",""
"glycine_Seurat","Rank_2nd","19","19","unreviewed",,"","",""
"glycine_Seurat","Rank_2nd","2","2","unreviewed",,"","",""
"glycine_Seurat","Rank_2nd","20","20","unreviewed",,"","",""
"glycine_Seurat","Rank_2nd","21","21","unreviewed",,"","",""
"glycine_Seurat","Rank_2nd","22","22","unreviewed",,"","",""
"glycine_Seurat","Rank_2nd","23","23","unreviewed",,"","",""
"glycine_Seurat","Rank_2nd","24","24","unreviewed",,"","",""
"glycine_Seurat","Rank_2nd","25","25","unreviewed",,"","",""
"glycine_Seurat","Rank_2nd","26","26","unreviewed",,"","",""
"glycine_Seurat","Rank_2nd","27","27","unreviewed",,"","",""
"glycine_Seurat","Rank_2nd","28","28","unreviewed",,"","",""
"glycine_Seurat","Rank_2nd","29","29","unreviewed",,"","",""
"glycine_Seurat","Rank_2nd","3","3","unreviewed",,"","",""
"glycine_Seurat","Rank_2nd","30","30","unreviewed",,"","",""
"glycine_Seurat","Rank_2nd","31","31","unreviewed",,"","",""
"glycine_Seurat","Rank_2nd","32","32","unreviewed",,"","",""
"glycine_Seurat","Rank_2nd","33","33","unreviewed",,"","",""
"glycine_Seurat","Rank_2nd","34","34","unreviewed",,"","",""
"glycine_Seurat","Rank_2nd","35","35","unreviewed",,"","",""
"glycine_Seurat","Rank_2nd","36","36","unreviewed",,"","",""
"glycine_Seurat","Rank_2nd","37","37","unreviewed",,"","",""
"glycine_Seurat","Rank_2nd","38","38","unreviewed",,"","",""
"glycine_Seurat","Rank_2nd","39","39","unreviewed",,"","",""
"glycine_Seurat","Rank_2nd","4","4","unreviewed",,"","",""
"glycine_Seurat","Rank_2nd","40","40","unreviewed",,"","",""
