"dataset_key","cluster_source","cluster_id","cell_type_label","annotation_status","confidence_score","marker_evidence","reference_source","notes"
"medicago_ComBat_BBKNN","Rank_2nd","8","8","unreviewed",,"","",""
"medicago_ComBat_BBKNN","Rank_2nd","9","9","unreviewed",,"","",""
"medicago_ComBat_BBKNN","Rank_3rd","0","0","unreviewed",,"","",""
"medicago_ComBat_BBKNN","Rank_3rd","1","1","unreviewed",,"","",""
"medicago_ComBat_BBKNN","Rank_3rd","10","10","unreviewed",,"","",""
"medicago_ComBat_BBKNN","Rank_3rd","11","11","unreviewed",,"","",""
"medicago_ComBat_BBKNN","Rank_3rd","12","12","unreviewed",,"","",""
"medicago_ComBat_BBKNN","Rank_3rd","13","13","unreviewed",,"","",""
"medicago_ComBat_BBKNN","Rank_3rd","2","2","unreviewed",,"","",""
"medicago_ComBat_BBKNN","Rank_3rd","3","3","unreviewed",,"","",""
"medicago_ComBat_BBKNN","Rank_3rd","4","4","unreviewed",,"","",""
"medicago_ComBat_BBKNN","Rank_3rd","5","5","unreviewed",,"","",""
"medicago_ComBat_BBKNN","Rank_3rd","6","6","unreviewed",,"","",""
"medicago_ComBat_BBKNN","Rank_3rd","7","7","unreviewed",,"","",""
"medicago_ComBat_BBKNN","Rank_3rd","8","8","unreviewed",,"","",""
"medicago_ComBat_BBKNN","Rank_3rd","9","9","unreviewed",,"","",""
"medicago_ComBat_BBKNN","Rank_4th","0","0","unreviewed",,"","",""
"medicago_ComBat_BBKNN","Rank_4th","1","1","unreviewed",,"","",""
"medicago_ComBat_BBKNN","Rank_4th","10","10","unreviewed",,"","",""
"medicago_ComBat_BBKNN","Rank_4th","11","11","unreviewed",,"","",""
"medicago_ComBat_BBKNN","Rank_4th","12","12","unreviewed",,"","",""
"medicago_ComBat_BBKNN","Rank_4th","13","13","unreviewed",,"","",""
"medicago_ComBat_BBKNN","Rank_4th","14","14","unreviewed",,"","",""
"medicago_ComBat_BBKNN","Rank_4th","2","2","unreviewed",,"","",""
"medicago_ComBat_BBKNN","Rank_4th","3","3","unreviewed",,"","",""
"medicago_ComBat_BBKNN","Rank_4th","4","4","unreviewed",,"","",""
"medicago_ComBat_BBKNN","Rank_4th","5","5","unreviewed",,"","",""
"medicago_ComBat_BBKNN","Rank_4th","6","6","unreviewed",,"","",""
"medicago_ComBat_BBKNN","Rank_4th","7","7","unreviewed",,"","",""
"medicago_ComBat_BBKNN","Rank_4th","8","8","unreviewed",,"","",""
