"canonical_gene_id"	"feature_id"
"MtrunA17Chr1g0172611"	"MtrunA17Chr1g0172611"
"MtrunA17Chr1g0172941"	"MtrunA17Chr1g0172941"
"MtrunA17Chr1g0173181"	"MtrunA17Chr1g0173181"
"MtrunA17Chr1g0173391"	"MtrunA17Chr1g0173391"
"MtrunA17Chr1g0173521"	"MtrunA17Chr1g0173521"
"MtrunA17Chr1g0174141"	"MtrunA17Chr1g0174141"
"MtrunA17Chr1g0174581"	"MtrunA17Chr1g0174581"
"MtrunA17Chr1g0175561"	"MtrunA17Chr1g0175561"
"MtrunA17Chr1g0176191"	"MtrunA17Chr1g0176191"
"MtrunA17Chr1g0176471"	"MtrunA17Chr1g0176471"
"MtrunA17Chr1g0177101"	"MtrunA17Chr1g0177101"
"MtrunA17Chr1g0177141"	"MtrunA17Chr1g0177141"
"MtrunA17Chr1g0177301"	"MtrunA17Chr1g0177301"
"MtrunA17Chr1g0177391"	"MtrunA17Chr1g0177391"
"MtrunA17Chr1g0177671"	"MtrunA17Chr1g0177671"
"MtrunA17Chr1g0178301"	"MtrunA17Chr1g0178301"
"MtrunA17Chr1g0178401"	"MtrunA17Chr1g0178401"
"MtrunA17Chr1g0178491"	"MtrunA17Chr1g0178491"
"MtrunA17Chr1g0179021"	"MtrunA17Chr1g0179021"
"MtrunA17Chr1g0179231"	"MtrunA17Chr1g0179231"
"MtrunA17Chr1g0179361"	"MtrunA17Chr1g0179361"
"MtrunA17Chr1g0179471"	"MtrunA17Chr1g0179471"
"MtrunA17Chr1g0180251"	"MtrunA17Chr1g0180251"
"MtrunA17Chr1g0180291"	"MtrunA17Chr1g0180291"
"MtrunA17Chr1g0180331"	"MtrunA17Chr1g0180331"
"MtrunA17Chr1g0180381"	"MtrunA17Chr1g0180381"
"MtrunA17Chr1g0180501"	"MtrunA17Chr1g0180501"
"MtrunA17Chr1g0180661"	"MtrunA17Chr1g0180661"
"MtrunA17Chr1g0180951"	"MtrunA17Chr1g0180951"
"MtrunA17Chr1g0181541"	"MtrunA17Chr1g0181541"
"MtrunA17Chr1g0181831"	"MtrunA17Chr1g0181831"
"MtrunA17Chr1g0182411"	"MtrunA17Chr1g0182411"
"MtrunA17Chr1g0183001"	"MtrunA17Chr1g0183001"
"MtrunA17Chr1g0183111"	"MtrunA17Chr1g0183111"
"MtrunA17Chr1g0183191"	"MtrunA17Chr1g0183191"
"MtrunA17Chr1g0183201"	"MtrunA17Chr1g0183201"
"MtrunA17Chr1g0183231"	"MtrunA17Chr1g0183231"
"MtrunA17Chr1g0183381"	"MtrunA17Chr1g0183381"
"MtrunA17Chr1g0183671"	"MtrunA17Chr1g0183671"
"MtrunA17Chr1g0183781"	"MtrunA17Chr1g0183781"
"MtrunA17Chr1g0184041"	"MtrunA17Chr1g0184041"
"MtrunA17Chr1g0184721"	"MtrunA17Chr1g0184721"
"MtrunA17Chr1g0184841"	"MtrunA17Chr1g0184841"
"MtrunA17Chr1g0185111"	"MtrunA17Chr1g0185111"
"MtrunA17Chr1g0185131"	"MtrunA17Chr1g0185131"
"MtrunA17Chr1g0185141"	"MtrunA17Chr1g0185141"
"MtrunA17Chr1g0185321"	"MtrunA17Chr1g0185321"
"MtrunA17Chr1g0185491"	"MtrunA17Chr1g0185491"
"MtrunA17Chr1g0185521"	"MtrunA17Chr1g0185521"
"MtrunA17Chr1g0185601"	"MtrunA17Chr1g0185601"
"MtrunA17Chr1g0185731"	"MtrunA17Chr1g0185731"
"MtrunA17Chr1g0185911"	"MtrunA17Chr1g0185911"
"MtrunA17Chr1g0185921"	"MtrunA17Chr1g0185921"
"MtrunA17Chr1g0186021"	"MtrunA17Chr1g0186021"
"MtrunA17Chr1g0186091"	"MtrunA17Chr1g0186091"
"MtrunA17Chr1g0186311"	"MtrunA17Chr1g0186311"
"MtrunA17Chr1g0186521"	"MtrunA17Chr1g0186521"
"MtrunA17Chr1g0186811"	"MtrunA17Chr1g0186811"
"MtrunA17Chr1g0186981"	"MtrunA17Chr1g0186981"
"MtrunA17Chr1g0187131"	"MtrunA17Chr1g0187131"
"MtrunA17Chr1g0187271"	"MtrunA17Chr1g0187271"
"MtrunA17Chr1g0187401"	"MtrunA17Chr1g0187401"
"MtrunA17Chr1g0187771"	"MtrunA17Chr1g0187771"
"MtrunA17Chr1g0187981"	"MtrunA17Chr1g0187981"
"MtrunA17Chr1g0188171"	"MtrunA17Chr1g0188171"
